index,id,name,name.1,rating,rating_count,type_id,price,acidity,intensity,sweetness,tannin,style_name,style_grapes
50570,159647282,Marrenon Roséfine 2018,Roséfine,3.6,126,4,7.28,2.9717567000000003,3.278108,1.8164865,0.0,Southern Rhône Rosé,"[{'id': 1, 'name': 'Shiraz/Syrah', 'seo_name': 'shiraz-syrah', 'has_detailed_info': True, 'wines_count': 491307}, {'id': 8, 'name': 'Grenache', 'seo_name': 'grenache-noir', 'has_detailed_info': True, 'wines_count': 210013}, {'id': 22, 'name': 'Mourvedre', 'seo_name': 'mourvedre', 'has_detailed_info': True, 'wines_count': 89450}]"
51644,1596858,Blandy's 5 Year Old Malmsey Madeira (Rich),5 Year Old Malmsey Madeira (Rich),3.8,1013,24,30.21,3.989736,4.9340763,4.79783,0.0,Portuguese Madeira,"[{'id': 91, 'name': 'Verdelho', 'seo_name': 'verdelho', 'has_detailed_info': False, 'wines_count': 10196}, {'id': 343, 'name': 'Sercial', 'seo_name': 'sercial', 'has_detailed_info': False, 'wines_count': 732}, {'id': 608, 'name': 'Malmsey', 'seo_name': 'malmsey', 'has_detailed_info': False, 'wines_count': 251}, {'id': 669, 'name': 'Boal Branco', 'seo_name': 'boal-branco', 'has_detailed_info': False, 'wines_count': 393}, {'id': 1536, 'name': 'Terrantez', 'seo_name': 'terrantez', 'has_detailed_info': False, 'wines_count': 274}]"
51645,1671967,Blandy's Duke of Clarence Madeira (Rich),Duke of Clarence Madeira (Rich),3.9,1000,24,32.0,3.476842,4.645,4.934605,0.0,Portuguese Madeira,"[{'id': 91, 'name': 'Verdelho', 'seo_name': 'verdelho', 'has_detailed_info': False, 'wines_count': 10196}, {'id': 343, 'name': 'Sercial', 'seo_name': 'sercial', 'has_detailed_info': False, 'wines_count': 732}, {'id': 608, 'name': 'Malmsey', 'seo_name': 'malmsey', 'has_detailed_info': False, 'wines_count': 251}, {'id': 669, 'name': 'Boal Branco', 'seo_name': 'boal-branco', 'has_detailed_info': False, 'wines_count': 393}, {'id': 1536, 'name': 'Terrantez', 'seo_name': 'terrantez', 'has_detailed_info': False, 'wines_count': 274}]"
51646,1569398,Blandy's 10 Years Old Malmsey Madeira (Rich),10 Years Old Malmsey Madeira (Rich),4.0,839,24,45.18,3.9285378,4.751229,4.871695,0.0,Portuguese Madeira,"[{'id': 91, 'name': 'Verdelho', 'seo_name': 'verdelho', 'has_detailed_info': False, 'wines_count': 10196}, {'id': 343, 'name': 'Sercial', 'seo_name': 'sercial', 'has_detailed_info': False, 'wines_count': 732}, {'id': 608, 'name': 'Malmsey', 'seo_name': 'malmsey', 'has_detailed_info': False, 'wines_count': 251}, {'id': 669, 'name': 'Boal Branco', 'seo_name': 'boal-branco', 'has_detailed_info': False, 'wines_count': 393}, {'id': 1536, 'name': 'Terrantez', 'seo_name': 'terrantez', 'has_detailed_info': False, 'wines_count': 274}]"
51647,2752225,Blandy's 10 Year Old Bual Madeira (Medium Rich),10 Year Old Bual Madeira (Medium Rich),4.0,671,24,42.25,3.7653632,4.877989,4.4744134,0.0,Portuguese Madeira,"[{'id': 91, 'name': 'Verdelho', 'seo_name': 'verdelho', 'has_detailed_info': False, 'wines_count': 10196}, {'id': 343, 'name': 'Sercial', 'seo_name': 'sercial', 'has_detailed_info': False, 'wines_count': 732}, {'id': 608, 'name': 'Malmsey', 'seo_name': 'malmsey', 'has_detailed_info': False, 'wines_count': 251}, {'id': 669, 'name': 'Boal Branco', 'seo_name': 'boal-branco', 'has_detailed_info': False, 'wines_count': 393}, {'id': 1536, 'name': 'Terrantez', 'seo_name': 'terrantez', 'has_detailed_info': False, 'wines_count': 274}]"
51648,3326463,Blandy's Alvada Rich 5 Year Old Madeira,Alvada Rich 5 Year Old Madeira,3.9,636,24,26.17,4.0171256,4.803054,4.7944913,0.0,Portuguese Madeira,"[{'id': 91, 'name': 'Verdelho', 'seo_name': 'verdelho', 'has_detailed_info': False, 'wines_count': 10196}, {'id': 343, 'name': 'Sercial', 'seo_name': 'sercial', 'has_detailed_info': False, 'wines_count': 732}, {'id': 608, 'name': 'Malmsey', 'seo_name': 'malmsey', 'has_detailed_info': False, 'wines_count': 251}, {'id': 669, 'name': 'Boal Branco', 'seo_name': 'boal-branco', 'has_detailed_info': False, 'wines_count': 393}, {'id': 1536, 'name': 'Terrantez', 'seo_name': 'terrantez', 'has_detailed_info': False, 'wines_count': 274}]"
51649,1643711,Blandy's 5 Year Old Bual Madeira (Medium Rich),5 Year Old Bual Madeira (Medium Rich),3.9,634,24,55.0,4.0,4.8337407,4.5843515,0.0,Portuguese Madeira,"[{'id': 91, 'name': 'Verdelho', 'seo_name': 'verdelho', 'has_detailed_info': False, 'wines_count': 10196}, {'id': 343, 'name': 'Sercial', 'seo_name': 'sercial', 'has_detailed_info': False, 'wines_count': 732}, {'id': 608, 'name': 'Malmsey', 'seo_name': 'malmsey', 'has_detailed_info': False, 'wines_count': 251}, {'id': 669, 'name': 'Boal Branco', 'seo_name': 'boal-branco', 'has_detailed_info': False, 'wines_count': 393}, {'id': 1536, 'name': 'Terrantez', 'seo_name': 'terrantez', 'has_detailed_info': False, 'wines_count': 274}]"
51650,3787002,Henriques & Henriques Sercial 10 Years Old Madeira,Sercial 10 Years Old Madeira,4.0,527,24,36.28,4.041246,4.792525,4.2941080000000005,0.0,Portuguese Madeira,"[{'id': 91, 'name': 'Verdelho', 'seo_name': 'verdelho', 'has_detailed_info': False, 'wines_count': 10196}, {'id': 343, 'name': 'Sercial', 'seo_name': 'sercial', 'has_detailed_info': False, 'wines_count': 732}, {'id': 608, 'name': 'Malmsey', 'seo_name': 'malmsey', 'has_detailed_info': False, 'wines_count': 251}, {'id': 669, 'name': 'Boal Branco', 'seo_name': 'boal-branco', 'has_detailed_info': False, 'wines_count': 393}, {'id': 1536, 'name': 'Terrantez', 'seo_name': 'terrantez', 'has_detailed_info': False, 'wines_count': 274}]"
51651,2885510,Blandy's 5 Year Old Sercial Madeira (Dry),5 Year Old Sercial Madeira (Dry),3.7,500,24,35.57,4.018431,4.2996073,3.672941,0.0,Portuguese Madeira,"[{'id': 91, 'name': 'Verdelho', 'seo_name': 'verdelho', 'has_detailed_info': False, 'wines_count': 10196}, {'id': 343, 'name': 'Sercial', 'seo_name': 'sercial', 'has_detailed_info': False, 'wines_count': 732}, {'id': 608, 'name': 'Malmsey', 'seo_name': 'malmsey', 'has_detailed_info': False, 'wines_count': 251}, {'id': 669, 'name': 'Boal Branco', 'seo_name': 'boal-branco', 'has_detailed_info': False, 'wines_count': 393}, {'id': 1536, 'name': 'Terrantez', 'seo_name': 'terrantez', 'has_detailed_info': False, 'wines_count': 274}]"
51652,4544687,Blandy's 10 Year Old Sercial Madeira (Dry),10 Year Old Sercial Madeira (Dry),3.9,478,24,156.3,3.945373000000002,4.754179,3.7832837,0.0,Portuguese Madeira,"[{'id': 91, 'name': 'Verdelho', 'seo_name': 'verdelho', 'has_detailed_info': False, 'wines_count': 10196}, {'id': 343, 'name': 'Sercial', 'seo_name': 'sercial', 'has_detailed_info': False, 'wines_count': 732}, {'id': 608, 'name': 'Malmsey', 'seo_name': 'malmsey', 'has_detailed_info': False, 'wines_count': 251}, {'id': 669, 'name': 'Boal Branco', 'seo_name': 'boal-branco', 'has_detailed_info': False, 'wines_count': 393}, {'id': 1536, 'name': 'Terrantez', 'seo_name': 'terrantez', 'has_detailed_info': False, 'wines_count': 274}]"
51653,1553555,Blandy's 15 Year Old Malmsey Madeira (Rich),15 Year Old Malmsey Madeira (Rich),4.0,439,24,89.0,4.1339574,4.910695,4.794599,0.0,Portuguese Madeira,"[{'id': 91, 'name': 'Verdelho', 'seo_name': 'verdelho', 'has_detailed_info': False, 'wines_count': 10196}, {'id': 343, 'name': 'Sercial', 'seo_name': 'sercial', 'has_detailed_info': False, 'wines_count': 732}, {'id': 608, 'name': 'Malmsey', 'seo_name': 'malmsey', 'has_detailed_info': False, 'wines_count': 251}, {'id': 669, 'name': 'Boal Branco', 'seo_name': 'boal-branco', 'has_detailed_info': False, 'wines_count': 393}, {'id': 1536, 'name': 'Terrantez', 'seo_name': 'terrantez', 'has_detailed_info': False, 'wines_count': 274}]"
51655,126749276,Justino's Madeira Madère Cruz 2016,Madère Cruz,4.1,317,24,17.52,3.7658763,4.8327837,4.714021,0.0,Portuguese Madeira,"[{'id': 91, 'name': 'Verdelho', 'seo_name': 'verdelho', 'has_detailed_info': False, 'wines_count': 10196}, {'id': 343, 'name': 'Sercial', 'seo_name': 'sercial', 'has_detailed_info': False, 'wines_count': 732}, {'id': 608, 'name': 'Malmsey', 'seo_name': 'malmsey', 'has_detailed_info': False, 'wines_count': 251}, {'id': 669, 'name': 'Boal Branco', 'seo_name': 'boal-branco', 'has_detailed_info': False, 'wines_count': 393}, {'id': 1536, 'name': 'Terrantez', 'seo_name': 'terrantez', 'has_detailed_info': False, 'wines_count': 274}]"
