id,name,rating,name,wine_id,winery_id,winery_name,price,acidity,fizziness,intensity,sweetness,tannin,style_id,style_name,style_varietal_name
151095114,Librandi Duca Sanfelice Cirò Classico Superiore Riserva Rosso 2017,4,Duca Sanfelice Cirò Classico Superiore Riserva Rosso,1235146,4533,Librandi,15.15,2.4909694,,4.3840356,2.255053,2.994118,208,Southern Italy Red,Red
156977405,Nicola Bergaglio Gavi del Comune di Gavi Rovereto 2018,4,Gavi del Comune di Gavi Rovereto,4023443,19541,Nicola Bergaglio,12.09,4.484568,,1.992284,1.3830179,,82,Italian Gavi,Gavi
159713888,Corzano e Paterno IL Corzanello Bianco 2018,3.8,IL Corzanello Bianco,1704501,3417,Corzano e Paterno,17.57,4.0914454,,3.0300722,2.1036627,,48,Central Italy White,White
19506586,Ca' Orologio Salaróla Bianco del Veneto 2015,3.8,Salaróla Bianco del Veneto,1661053,30904,Ca' Orologio,21.27,3.0542371,,3.9389408,2.5104659,,131,Northern Italy White,White
150393263,Casadei Armonia Toscana 2016,3.6,Armonia Toscana,1227696,35572,Casadei,14.34,3.0619762,,3.2543905,1.6335936,2.793713,292,Tuscan Red,Red
157001560,San Patrignano Aulente Bianco 2018,3.7,Aulente Bianco,2786318,5279,San Patrignano,12.25,3.2333386,,3.5840192,2.2299354,,131,Northern Italy White,White
92091393,San Patrignano Aulente Rosso 2016,3.5,Aulente Rosso,75298,5279,San Patrignano,12.25,2.7070653,,3.5621257,2.0426044,3.0190902,130,Northern Italy Red,Red
156101884,Roccapesta Morellino di Scansano 2018,3.9,Morellino di Scansano,1146066,13451,Roccapesta,24.98,3.1034107,,3.2282991,1.7824534,3.0202975,292,Tuscan Red,Red
157144095,Russolo Rino Doi Raps 2018,3.9,Doi Raps,1156057,14549,Russolo Rino,23.84,3.176093,,3.7602327,2.5245736,,131,Northern Italy White,White
163233538,Scala Cirò Bianco 2019,3.6,Cirò Bianco,2723307,139805,Scala,16.92,2.8959846,,3.406212,1.2414014,,209,Southern Italy White,White
160764872,Mrva & Stanko Cabernet Sauvignon Rosé 2019,4,Cabernet Sauvignon Rosé,1157231,14732,Mrva & Stanko,12.89,,,,,,,,
